# Vocabulary List
|#|ごい|Vocabulary|Type|Meaning|
|102|返事|henji へんじ|Noun, Suru verb|reply; answer; response|
|103|火|hi ひ|Noun|fire|
|104|酷い|hidoi ひどい|Adjective, い-adjective|terrible; awful​|
|105|冷える|hieru ひえる|Verb, Ichidan verb, Intransitive verb|to grow cold|
|106|髭|hige ひげ|Noun|beard|
|107|非常に|hijou ni ひじょうに|Adverb|extremely|
|108|光|hikari ひかり|Noun|light|
|109|光る|hikaru ひかる|Verb, Godan verb, Intransitive verb|to shine|
|110|引き出し|hikidashi ひきだし|Noun|drawer|
|111|引き出す|hikidasu ひきだす|Verb, Godan verb, Transitive verb|to withdraw|
|112|引っ越す|hikkosu ひっこす|Verb, Godan verb, Intransitive verb|to move house|
|113|飛行場|hikoujou ひこうじょう|Noun|airfield; airport|
|114|開く|hiraku ひらく|Verb, Godan verb, Intransitive verb|, Transitive verbto open; to undo; to unseal; to unpack|
|115|拾う|hirou ひろう|Verb, Godan verb, Transitive verb|to pick up|
|116|昼間|hiruma ひるま|Noun|daytime; during the day|
|117|昼休み|hiruyasumi ひるやすみ|Noun|lunch break; noon recess; noon rest period|
|118|久しぶり|hisashiburi ひさしぶり|Noun|, Adjective, な-adjectiveafter a long time|
|119|褒める|homeru ほめる|Verb, Ichidan verb, Transitive verb|to praise|
|120|翻訳|honyaku ほんやく|Noun, Suru verb|translation|
|121|星|hoshi ほし|Noun|star|
|122|ほとんど|hotondo|Adverb|ial Nounmostly|
|123|法律|houritsu ほうりつ|Noun|law|
|124|放送|housou ほうそう|Noun, Suru verb|to broadcast|
|125|一度|ichido いちど|Noun|once; one time; on one occasion|
|126|以外|igai いがい|Noun|with the exception of; excepting|
|127|医学|igaku いがく|Noun|medical science; medicine|
|128|いじめる|ijimeru|Verb, Ichidan verb, Transitive verb|to tease|
|129|以上|ijou いじょう|Noun, Adverbial Noun|... and more; ... and upwards​|
|130|以下|ika いか|Noun|not exceeding|
|131|意見|iken いけん|Noun, Verb, Suru verb|opinion; view; comment|
|132|生き物|ikimono いきもの|Noun|living thing|
|133|生きる|ikiru いきる|Verb, Ichidan verb, Intransitive verb|to live|
|134|以内|inai いない|Noun, Suffix|within|
|135|田舎|inaka いなか|Noun|countryside|
|136|祈る|inoru いのる|Verb, Godan verb, Transitive verb|to pray|
|137|いっぱい|ippai|Noun|, Adjective, な-adjective, Adverbfull|
|138|色んな|ironna いろんな|Pre-noun adjectival|various|
|139|石|ishi いし|Noun|stone|
|140|急ぐ|isogu いそぐ|Verb, Godan verb, Intransitive verb|to hurry; to rush; to hasten; to make something happen sooner|
|141|一生懸命|isshoukenmei いっしょうけんめい|Noun, Adverbial Noun|, Adjective, な-adjectivevery hard; with utmost effort|
|142|頂く|itadaku いただく|Verb, Godan verb, Transitive verb|(humble) to receive|
|143|致す|itasu いたす|Verb, Godan verb, Transitive verb|(humble) to do|
|144|糸|ito いと|Noun|thread|
|145|ジャム|jamu|Noun, Katakana|jam|
|146|字|ji じ|Noun|character|
|147|時代|jidai じだい|Noun|period|
|148|事故|jiko じこ|Noun|accident|
|149|事務所|jimusho じむしょ|Noun|office|
|150|神社|jinja じんじゃ|Noun|Shinto shrine|
|151|人口|jinkou じんこう|Noun|population|
|152|人生|jinsei じんせい|Noun|human life|
|153|地震|jishin じしん|Noun|earthquake|
|154|辞典|jiten じてん|Noun|dictionary|
|155|自由|jiyuu じゆう|Noun|, Adjective, な-adjective, Expressionfreedom|
|156|女性|josei じょせい|Noun|woman; female|
|157|準備|junbi じゅんび|Noun, Suru verb|to prepare|
|158|十分|juubun じゅうぶん|Noun|, Adjective, な-adjective, Adverbenough; sufficient; plenty; adequate; satisfactory|
|159|柔道|juudou じゅうどう|Noun|judo|
|160|住所|juusho じゅうしょ|Noun|address|
|161|カーテン|kaaten|Noun, Katakana|curtain|
|162|壁|kabe かべ|Noun|wall|
|163|課長|kachou かちょう|Noun|section manager; section chief|
|164|帰り|kaeri かえり|Noun|return; coming back|
|165|変える|kaeru かえる|Verb, Ichidan verb, Transitive verb|to change; to transform|
|166|科学|kagaku かがく|Noun|science|
|167|鏡|kagami かがみ|Noun|mirror|
|168|海岸|kaigan かいがん|Noun|coast|
|169|会議|kaigi かいぎ|Noun, Verb, Suru verb|meeting; conference; session; assembly|
|170|会議室|kaigishitsu かいぎしつ|Noun|conference room; conference hall; council room|
|171|会場|kaijou かいじょう|Noun|assembly hall; meeting place; venue; grounds|
|172|会話|kaiwa かいわ|Noun, Verb, Suru verb|conversation|
|173|火事|kaji かじ|Noun|fire|
|174|格好|kakkou かっこう|Noun|appearance|
|175|構う|kamau かまう|Verb, Godan verb|to mind|
|176|髪|kami かみ|Noun|hair|
|177|噛む|kamu かむ|Verb, Godan verb, Transitive verb|to bite,to chew|
|178|家内|kanai かない|Noun|(my) wife; inside the home; one's family|
|179|必ず|kanarazu かならず|Adverb|always; certainly|
|180|悲しい|kanashii かなしい|Adjective, い-adjective|sad|
|181|考える|kangaeru かんがえる|Verb, Ichidan verb, Transitive verb|to think|
|182|看護婦|kangofu かんごふ|Noun|female nurse|
|183|関係|kankei かんけい|Noun, Suru verb|relationship|
|184|彼女|kanojo かのじょ|Pronoun|she; her​|
|185|簡単|kantan かんたん|Noun|, Adjective, な-adjectivesimple; easy|
|186|彼|kare かれ|Pronoun|he; him​; his|
|187|彼ら|karera かれら|Pronoun|they; them|
|188|形|katachi かたち|Noun|shape|
|189|片付ける|katadzukeru かたづける|Verb, Ichidan verb, Transitive verb|to tidy up|
|190|硬い|katai かたい|Adjective, い-adjective|hard|
|191|勝つ|katsu かつ|Verb, Godan verb, Intransitive verb|to win|
|192|乾く|kawaku かわく|Verb, Godan verb, Intransitive verb|to get dry|
|193|代わり|kawari かわり|Noun|instead; in place|
|194|変わる|kawaru かわる|Verb, Godan verb, Intransitive verb|to change|
|195|通う|kayou かよう|Verb, Godan verb, Intransitive verb|to commute|
|196|飾る|kazaru かざる|Verb, Godan verb, Transitive verb|to decorate|
|197|毛|ke け|Noun|hair or fur|
|198|ケーキ|keeki|Noun, Katakana|cake|
|199|怪我|kega けが|Noun, Suru verb|to injure|
|200|計画|keikaku けいかく|Noun, Suru verb|to plan|
|201|経験|keiken けいけん|Noun, Suru verb|to experience|
|202|警察|keisatsu けいさつ|Noun|police|
|203|経済|keizai けいざい|Noun|finance, economy|
|204|見物|kenbutsu けんぶつ|Noun, Suru verb|sightseeing; visit|
|205|喧嘩|kenka けんか|Noun, Suru verb|to quarrel|
|206|研究|kenkyuu けんきゅう|Noun, Suru verb|research|
|207|研究室|kenkyuushitsu けんきゅうしつ|Noun|laboratory|
|208|消しゴム|keshigomu|Noun|eraser|
|209|景色|keshiki けしき|Noun|scenery|
|210|気|ki き|Noun|spirit|
|211|厳しい|kibishii きびしい|Adjective, い-adjective|strict|
|212|気分|kibun きぶん|Noun|feeling; mood|
|213|機会|kikai きかい|Noun|chance; opportunity|
|214|危険|kiken きけん|Noun|, Adjective, な-adjectivedanger|
|215|聞こえる|kikoeru きこえる|Verb, Ichidan verb, Intransitive verb|to be heard; to be audible; to be said|
|216|決まる|kimaru きまる|Verb, Godan verb, Intransitive verb|to be decided|
|217|決める|kimeru きめる|Verb, Ichidan verb, Transitive verb|to decide|
|218|君|kimi きみ|Pronoun|You|
|219|気持ち|kimochi きもち|Noun|feeling|
|220|着物|kimono きもの|Noun|kimono; Japanese traditional clothing|
|221|近所|kinjo きんじょ|Noun|neighbourhood|
|222|絹|kinu きぬ|Noun|silk|
|223|季節|kisetsu きせつ|Noun|season|
|224|汽車|kisha きしゃ|Noun|train|
|225|規則|kisoku きそく|Noun|rule|
|226|子|ko こ|Noun|child|
|227|心|kokoro こころ|Noun|heart|
|228|国際|kokusai こくさい|Noun|international|
|229|細かい|komakai こまかい|Adjective, い-adjective|small, fine|
|230|米|kome こめ|Noun|(husked grains of) rice|
|231|込む|komu こむ|Verb, Godan verb, Intransitive verb|to be crowded|
|232|今度|kondo こんど|Noun|this time; next time|
|233|この間|kono aida このあいだ|Adverb|ial Nounthe other day; recently|
|234|このごろ|kono goro|Adverb|ial Nounthese days; nowadays|
|235|コンピュータ|konpyuuta|Noun, Katakana|computer|
|236|コンサート|konsaato|Noun, Katakana|concert|
|237|今夜|konya こんや|Noun|this evening; tonigh|
|238|これから|korekara|Conjunction|after this|
|239|故障|koshou こしょう|Noun, Suru verb|to break-down|
|240|答え|kotae こたえ|Noun|response|
|241|小鳥|kotori ことり|Noun|small bird|
|242|こう|kou|Adverb|this way|
|243|校長|kouchou こうちょう|Noun|principal; headmaster|
|244|講堂|koudou こうどう|Noun|auditorium|
|245|郊外|kougai こうがい|Noun|suburb; residential area on the outskirt of a city|
|246|講義|kougi こうぎ|Noun, Suru verb|lecture|
|247|工業|kougyou こうぎょう|Noun|industry|
|248|工場|koujou こうじょう|Noun|factory|
|249|高校|koukou こうこう|Noun|senior high school; high school​|
|250|高校生|koukousei こうこうせい|Noun|high school student|
|251|公務員|koumuin こうむいん|Noun|government worker|
|252|高等学校|koutougakkou こうとうがっこう|Noun|high school|
|253|交通|koutsuu こうつう|Noun|traffic|
|254|怖い|kowai こわい|Adjective, い-adjective|frightening|
|255|壊れる|kowareru こわれる|Verb, Ichidan verb, Intransitive verb|to be broken|
|256|壊す|kowasu こわす|Verb, Godan verb, Transitive verb|to break|
|257|首|kubi くび|Noun|neck|
|258|下さる|kudasaru くださる|Verb, Godan verb|(respectful) to give|
|259|雲|kumo くも|Noun|cloud|
|260|君|kun くん|Suffix|suffix for familiar young male|
|261|比べる|kuraberu くらべる|Verb, Ichidan verb, Transitive verb|to compare|
|262|暮れる|kureru くれる|Verb, Ichidan verb, Intransitive verb|to get dark|
|263|草|kusa くさ|Noun|grass|
|264|空気|kuuki くうき|Noun|air|
|265|空港|kuukou くうこう|Noun|airport|
|266|客|kyaku きゃく|Noun|guest; customer|
|267|教育|kyouiku きょういく|Noun, Suru verb|education|
|268|教会|kyoukai きょうかい|Noun|church; congregation; Christian church|
|269|興味|kyoumi きょうみ|Noun|interest (in something); curiosity (about something); zest (for)|
|270|競争|kyousou きょうそう|Noun, Suru verb|competition|
|271|急|kyuu きゅう|Adjective, な-adjective|sudden; abrupt; unexpected|
|272|急行|kyuukou きゅうこう|Noun, Verb, Suru verb|hurrying (to somewhere); rushing; hastening|
|273|間違える|machigaeru まちがえる|Verb, Ichidan verb, Transitive verb|to make a mistake (in)|
|274|参る|mairu まいる|Verb, Godan verb, Intransitive verb|(humble) to go; to come|
|275|負ける|makeru まける|Verb, Ichidan verb, Intransitive verb|to lose|
|276|漫画|manga まんが|Noun|comic|
|277|間に合う|maniau まにあう|Verb, Godan verb, Intransitive verb|to be in time (for)|
|278|真ん中|mannaka まんなか|Noun|middle; centre; center|
|279|周り|mawari まわり|Noun|around|
|280|回る|mawaru まわる|Verb, Godan verb, Intransitive verb|to go around|
|281|まず|mazu|Adverb|first of all|
|282|召し上がる|meshiagaru めしあがる|Verb, Godan verb, Transitive verb|to eat; to drink​|
|283|珍しい|mezurashii めずらしい|Adjective, い-adjective|unusual; rare|
|284|見える|mieru みえる|Verb, Ichidan verb, Intransitive verb|to be seen; to be in sight; to look; to seem|
|285|港|minato みなと|Noun|harbour|
|286|味噌|miso みそ|Noun|fermented condiment made from soybeans|
|287|見つかる|mitsukaru みつかる|Verb, Godan verb, Intransitive verb|to be found; to be discovered|
|288|見つける|mitsukeru みつける|Verb, Ichidan verb, Transitive verb|to discover; to find; to come across; to detect; to spot|
|289|都|miyako みやこ|Noun|capital|
|290|湖|mizuumi みずうみ|Noun|lake|
|291|戻る|modoru もどる|Verb, Godan verb, Intransitive verb|to turn back|
|292|木綿|momen もめん|Noun|cotton (material)|
|293|森|mori もり|Noun|forest|
|294|もし|moshi|Adverb|if; in case; supposing|
|295|申し上げる|moushiageru もうしあげる|Verb, Ichidan verb, Transitive verb|to say; to offer|
|296|申す|mousu もうす|Verb, Godan verb, Transitive verb|to be called; to say|
|297|もうすぐ|mousugu|Adverb|, Expressionsoon|
|298|迎える|mukaeru むかえる|Verb, Ichidan verb, Transitive verb|to go out to meet|
|299|昔|mukashi むかし|Noun, Adverbial Noun|olden days, former|
|300|向かう|mukau むかう|Verb, Godan verb, Intransitive verb|to head towards|
|301|無理|muri むり|Noun|, Adjective, な-adjective, Suru verbimpossible|
|302|虫|mushi むし|Noun|insect|
|303|息子|musuko むすこ|Noun|son|
|304|娘|musume むすめ|Noun|daughter|
|305|投げる|nageru なげる|Verb, Ichidan verb, Transitive verb|to throw or cast away|
|306|泣く|naku なく|Verb, Godan verb|to weep|
|307|無くなる|naku naru なくなる|Verb, Godan verb, Intransitive verb|to disappear; to get lost|
|308|亡くなる|nakunaru なくなる|Verb, Godan verb, Intransitive verb|to die|
|309|生|nama なま|Noun, Prefix|raw|
|310|直る|naoru なおる|Verb, Godan verb, Intransitive verb|to be fixed,to be repaired|
|311|治る|naoru なおる|Verb, Godan verb, Intransitive verb|to be cured; to heal|
|312|慣れる|nareru なれる|Verb, Ichidan verb, Intransitive verb|to get used to|
|313|鳴る|naru なる|Verb, Godan verb, Intransitive verb|to sound|
|314|なるほど|naruhodo|Adverb|, Expressionnow I understand|
|315|寝坊|nebou ねぼう|Noun, Verb, Suru verb|sleeping in late; oversleeping|
|316|値段|nedan ねだん|Noun|price; cost|
|317|眠い|nemui ねむい|Adjective, い-adjective|sleepy|
|318|眠る|nemuru ねむる|Verb, Godan verb, Intransitive verb|to sleep|
|319|熱|netsu ねつ|Noun|fever|
|320|苦い|nigai にがい|Adjective, い-adjective|bitter|
|321|逃げる|nigeru にげる|Verb, Ichidan verb, Intransitive verb|to escape|
|322|二階建て|nikaidate にかいだて|Noun|two-storied building|
|323|人形|ningyou にんぎょう|Noun|doll|
|324|匂い|nioi におい|Noun|a smell|
|325|似る|niru にる|Verb, Ichidan verb, Intransitive verb|to be similar|
|326|喉|nodo のど|Noun|throat|
|327|残る|nokoru のこる|Verb, Godan verb, Intransitive verb|to remain|
|328|乗り換える|norikaeru のりかえる|Verb, Ichidan verb, Transitive verb|to change between buses or trains|
|329|乗り物|norimono のりもの|Noun|vehicle|
|330|濡れる|nureru ぬれる|Verb, Ichidan verb, Intransitive verb|to get wet|
|331|塗る|nuru ぬる|Verb, Godan verb, Transitive verb|to paint; to plaster|
|332|盗む|nusumu ぬすむ|Verb, Godan verb, Transitive verb|to steal|
|333|入学|nyuugaku にゅうがく|Noun, Verb, Suru verb|entry to school or university; enrollment|
|334|入院|nyuuin にゅういん|Noun, Verb, Suru verb|hospitalization|
|335|落ちる|ochiru おちる|Verb, Ichidan verb, Intransitive verb|to fall or drop|
|336|踊り|odori おどり|Noun|a dance|
|337|驚く|odoroku おどろく|Verb, Godan verb, Intransitive verb|to be surprised|
|338|踊る|odoru おどる|Verb, Godan verb, Intransitive verb|to dance|
|339|お出でになる|oide ni naru おいでになる|Verb, Godan verb|, Expression(respectful) to be|
|340|お祝い|oiwai おいわい|Noun, Suru verb|congratulation|
|341|お嬢さん|ojousan おじょうさん|Noun|(another's) daughter|
|342|可笑しい|okashii おかしい|Adjective, い-adjective|strange or funny|
|343|行う|okonau おこなう|Verb, Godan verb, Transitive verb|to perform; to do; to carry out|
|344|怒る|okoru おこる|Verb, Godan verb, Intransitive verb|to be angry|
|345|起こす|okosu おこす|Verb, Godan verb, Transitive verb|to wake|
|346|億|oku おく|Numericone|hundred million|
|347|屋上|okujou おくじょう|Noun|rooftop​|
|348|遅れる|okureru おくれる|Verb, Ichidan verb, Intransitive verb|to be late|
|349|贈り物|okurimono おくりもの|Noun|present; gift|
|350|送る|okuru おくる|Verb, Godan verb, Transitive verb|to send|
|351|お祭り|omatsuri おまつり|Noun|festival|
|352|お見舞い|omimai おみまい|Noun|visiting ill or distressed people|
|353|お土産|omiyage おみやげ|Noun|souvenir|
|354|おもちゃ|omocha|Noun|toy|
|355|思い出す|omoidasu おもいだす|Verb, Godan verb, Transitive verb|to remember|
|356|表|omote おもて|Noun|the front|
|357|オートバイ|ootobai|Noun, Katakana|motorcycle|
|358|お礼|orei おれい|Noun|thanks|
|359|折れる|oreru おれる|Verb, Ichidan verb, Intransitive verb|to break; to be broken|
|360|下りる|oriru おりる|Verb, Ichidan verb, Intransitive verb|to get off|
|361|折る|oru おる|Verb, Godan verb, Transitive verb|to break or to fold|
|362|押し入れ|oshiire おしいれ|Noun|closet|
|363|仰る|ossharu おっしゃる|Verb, Godan verb, Transitive verb|(respectful) to say|
|364|お宅|otaku おたく|Noun|your home|
|365|音|oto おと|Noun|sound; note|
|366|落とす|otosu おとす|Verb, Godan verb, Transitive verb|to drop|
|367|お釣り|otsuri おつり|Noun|change (for a purchase)​|
|368|夫|otto おっと|Noun|husband|
|369|終わり|owari おわり|Noun|the end|
|370|親|oya おや|Noun|parents|
|371|泳ぎ方|oyogikata およぎかた|Noun|way of swimming|
|372|パート|paato|Noun, Katakana|part; part time|
|373|パソコン|pasokon|Noun, Katakana|personal computer|
|374|ピアノ|piano|Noun, Katakana|piano|
|375|プレゼント|purezento|Noun, Katakana|present; gift|
|376|冷房|reibou れいぼう|Noun, Suru verb|air conditioning|
|377|レジ|reji|Noun, Katakana|cashier​|
|378|歴史|rekishi れきし|Noun|history|
|379|連絡|renraku れんらく|Suru verb|to contact; to get in touch​|
|380|レポート|repooto|Noun, Katakana|report|
|381|利用|riyou りよう|Noun, Verb, Suru verb|use; utilization; application|
|382|理由|riyuu りゆう|Noun|reason|
|383|留守|rusu るす|Noun, Suru verb|absence|
|384|旅館|ryokan りょかん|Noun|traditional inn; Japanese-style lodging|
|385|両方|ryouhou りょうほう|Noun|both sides|
|386|寂しい|sabishii さびしい|Adjective, い-adjective|lonely|
|387|下がる|sagaru さがる|Verb, Godan verb, Intransitive verb|to get down|
|388|探す|sagasu さがす|Verb, Godan verb, Transitive verb|to look for|
|389|下げる|sageru さげる|Verb, Ichidan verb, Transitive verb|to lower|
|390|最後|saigo さいご|Noun|end; last|
|391|最近|saikin さいきん|Noun, Adverbial Noun|recently|
|392|最初|saisho さいしょ|Noun, Adverbial Noun|beginning; first|
|393|坂|saka さか|Noun|slope; hill|
|394|盛ん|sakan さかん|Adjective, な-adjective|popularity; prosperous|
|395|昨夜|sakuya さくや|Noun, Adverbial Noun|last night|
|396|サンダル|sandaru|Noun, Katakana|sandal|
|397|サンドイッチ|sandoicchi|Noun, Katakana|sandwich|
|398|産業|sangyou さんぎょう|Noun|industry|
|399|サラダ|sarada|Noun, Katakana|salad|
|400|再来月|saraigetsu さらいげつ|Noun, Adverbial Noun|month after next|
|401|再来週|saraishuu さらいしゅう|Noun, Adverbial Noun|week after next|
|402|差し上げる|sashiageru さしあげる|Verb, Ichidan verb, Transitive verb|to give|
|403|騒ぐ|sawagu さわぐ|Verb, Godan verb, Intransitive verb|to make noise,to be excited|
|404|触る|sawaru さわる|Verb, Godan verb, Intransitive verb|to touch|
|405|生物|seibutsu せいぶつ|Noun|living thing|
|406|政治|seiji せいじ|Noun|politics|
|407|生活|seikatsu せいかつ|Noun, Suru verb|to live|
|408|生命|seimei せいめい|Noun|life|
|409|生産|seisan せいさん|Noun, Suru verb|production|
|410|西洋|seiyou せいよう|Noun|the west; Western countries|
|411|世界|sekai せかい|Noun|the world|
|412|席|seki せき|Noun|seat|
|413|線|sen せん|Noun|line|
|414|背中|senaka せなか|Noun|back (of body)|
|415|先輩|senpai せんぱい|Noun|senior|
|416|戦争|sensou せんそう|Noun, Suru verb|war|
|417|説明|setsumei せつめい|Noun, Verb, Suru verb|explanation|
|418|社長|shachou しゃちょう|Noun|company president; manager; director|
|419|社会|shakai しゃかい|Noun|society; public; community; the world|
|420|市|shi し|Noun|city|
|421|試合|shiai しあい|Noun, Suru verb|match,game|
|422|叱る|shikaru しかる|Verb, Godan verb, Transitive verb|to scold|
|423|仕方|shikata しかた|Noun|way; method|
|424|試験|shiken しけん|Noun, Suru verb|examination|
|425|しっかり|shikkari|Adverb|, Suru verbfirmly; steadily|
|426|島|shima しま|Noun|island|
|427|市民|shimin 市民|Noun|citizen|
|428|品物|shinamono しなもの|Noun|goods; article; thing|
|429|新聞社|shinbunsha しんぶんしゃ|Noun|newspaper company|
|430|親切|shinsetsu しんせつ|Noun|, Adjective, な-adjectivekindness|
|431|失敗|shippai しっぱい|Noun, Suru verb|failure|
|432|調べる|shiraberu しらべる|Verb, Ichidan verb, Transitive verb|to investigate|
|433|知らせる|shiraseru しらせる|Verb, Ichidan verb, Transitive verb|to notify|
|434|下着|shitagi したぎ|Noun|underwear|
|435|食料品|shokuryouhin しょくりょうひん|Noun|food; groceries|
|436|小学校|shougakkou しょうがっこう|Noun|elementary school|
|437|生じる|shoujiru しょうじる|Verb, Ichidan verb, Transitive verb|to produce|
|438|紹介|shoukai しょうかい|Noun, Suru verb|introduction|
|439|将来|shourai しょうらい|Noun, Adverbial Noun|future|
|440|小説|shousetsu しょうせつ|Noun|novel|
|441|趣味|shumi しゅみ|Noun|hobby; pastime; preference|
|442|習慣|shuukan しゅうかん|Noun|habit; custom; cultural practice.|
|443|祖母|sobo そぼ|Noun|grandmother|
|444|育てる|sodateru そだてる|Verb, Ichidan verb, Transitive verb|to rear,to bring up|
|445|祖父|sofu そふ|Noun|grandfather|
|446|ソフト|sofuto|Noun, Katakana|soft|
|447|そんな|sonna|Pre-noun adjectival|that sort of|
|448|それで|sore de|Conjunction|because of that|
|449|それほど|sore hodo|Adverb|to that extent|
