# Grammar List
|#|Grammar Lesson|文法レッスン|Grammar Meaning|
|120|wa\~ga... wa|は〜が… は|[A] but [B]; however; comparison|
|121|yasui|やすい|easy to; likely to; prone to; have a tendency to \~|
|122|yatto|やっと|at last; finally; barely; narrowly \~|
|123|yori|より|than; rather than; more than \~|
|124|yotei da|予定だ（よていだ）|plan to, intend to|
|125|you da|ようだ|appears; seems; looks as if \~|
|126|you ni / you na|ように / ような|like; as; similar to \~|
|127|you ni naru|ようになる|to reach the point that; to come to be that; to turn into \~|
|128|you ni suru|ようにする|to try to; to make sure that \~|
|129|you to omou|ようと思う（ようとおもう）|thinking of doing; planning to \~|
|130|zehi|ぜひ|by all means; certainly; definitely \~|
|131|zenzen\~nai|全然～ない（ぜんぜん～ない）|(not) at all|
|132|zurai|づらい|difficult to do \~|
